taxid		
127458	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiobaca;Thiobaca trueperi	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiobaca;s__Thiobaca trueperi
1048	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium;Marichromatium gracile	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Marichromatium;s__Marichromatium gracile
2026887	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae;Nitrospirae bacterium	k__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__Nitrospirae bacterium
2211376	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division NC10;Candidatus Methylomirabilis;Candidatus Methylomirabilis lanthanidiphila	k__Bacteria;p__candidate division NC10;c__;o__;f__;g__Candidatus Methylomirabilis;s__Candidatus Methylomirabilis lanthanidiphila
2601898	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;unclassified Noviherbaspirillum;Noviherbaspirillum sp. UKPF54	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__Noviherbaspirillum sp. UKPF54
424902	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa;Thiohalocapsa marina	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa;s__Thiohalocapsa marina
2026786	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales;Rhodospirillales bacterium	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__Rhodospirillales bacterium
2049432	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;unclassified Chromatiaceae;Chromatiaceae bacterium	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__Chromatiaceae bacterium
57489	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus;Thiorhodococcus minor	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodococcus;s__Thiorhodococcus minor
2713569	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella;unclassified Wenzhouxiangella;Wenzhouxiangella sp. XN24	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella sp. XN24
2026786	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales;Rhodospirillales bacterium	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__Rhodospirillales bacterium
2024963	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;unclassified Caldimicrobium;Caldimicrobium sp.	k__Bacteria;p__Thermodesulfobacteria;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Caldimicrobium;s__Caldimicrobium sp.
2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria;Deltaproteobacteria bacterium	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium
2026887	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae;Nitrospirae bacterium	k__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__Nitrospirae bacterium
