	seqid	db	taxid	lineage
UniRef100_A0A800C6Q2	A0A800C6Q2	uniprot	2044940	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
UniRef100_A0A836SE23	A0A836SE23	uniprot	2030882	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;unclassified Thiotrichaceae
UniRef100_A0A845VAG6	A0A845VAG6	uniprot	2707351	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella
UniRef100_A0A8B5WT38	A0A8B5WT38	uniprot	2053538	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria incertae sedis;Candidatus Competibacteraceae;unclassified Candidatus Competibacteraceae
UniRef100_D3RV90	D3RV90	uniprot	572477	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;Allochromatium vinosum
UniRef100_D5C0Y3	D5C0Y3	uniprot	472759	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Nitrosococcus halophilus
UniRef100_D5C2J8	D5C2J8	uniprot	472759	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Nitrosococcus halophilus
UniRef100_G2E3I0	G2E3I0	uniprot	765913	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus;Thiorhodococcus drewsii
UniRef100_I3CBI6	I3CBI6	uniprot	395493	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Beggiatoa;Beggiatoa alba
UniRef100_I3Y8J1	I3Y8J1	uniprot	765911	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiocystis;Thiocystis violascens
UniRef100_I4C057	I4C057	uniprot	706587	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile;Desulfomonile tiedjei
UniRef100_I4C2D7	I4C2D7	uniprot	706587	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfomonile;Desulfomonile tiedjei
UniRef100_L0DTE9	L0DTE9	uniprot	1255043	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio;Thioalkalivibrio nitratireducens
