	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
MWMJ01000016.1_prot_OUE49294.1_331	NA	NA	1910957.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. Lanier	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. Lanier	Cyanobacteria
Candidatus_Synechococcus_calcipolaris	NA	NA	1522304.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Candidatus Synechococcus calcipolaris	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Candidatus Synechococcus calcipolaris	Cyanobacteria
Chroococcidiopsis_thermalis_PCC_7203	Chroococcidiopsis_thermalis_PCC_7203	NA	54299.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcidiopsidales;f__Chroococcidiopsidaceae;g__Chroococcidiopsis;s__Chroococcidiopsis thermalis	Bacteria	Cyanobacteria	NA	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	Chroococcidiopsis thermalis	Cyanobacteria
Synechococcus_sp_PCC_6312	Synechococcus_sp_PCC_6312	NA	195253.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6312	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6312	Cyanobacteria
Thermosynechococcus_elongatus	Thermosynechococcus_elongatus	NA	146785.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Thermosynechococcaceae;g__Thermosynechococcus;s__	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus	NA	Cyanobacteria
UniRef100_A0A098TJ90	A0A098TJ90	uniprot	1497020.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Neosynechococcus;Neosynechococcus sphagnicola	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Neosynechococcus;s__Neosynechococcus sphagnicola	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Leptolyngbyaceae	Neosynechococcus	Neosynechococcus sphagnicola	Cyanobacteria
UniRef100_A0A2D2Q3J4	A0A2D2Q3J4	uniprot	1917166.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Thermostichales;Thermostichaceae;Thermostichus;Thermostichus lividus	k__Bacteria;p__Cyanobacteria;c__;o__Thermostichales;f__Thermostichaceae;g__Thermostichus;s__Thermostichus lividus	Bacteria	Cyanobacteria	NA	Thermostichales	Thermostichaceae	Thermostichus	Thermostichus lividus	Cyanobacteria
UniRef100_B8HLW5	B8HLW5	uniprot	395961.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Cyanothecaceae;Cyanothece;unclassified Cyanothece	k__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Cyanothecaceae;g__Cyanothece;s__Cyanothece sp. PCC 7425	Bacteria	Cyanobacteria	NA	Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7425	Cyanobacteria
UniRef100_K9S008	K9S008	uniprot	195253.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6312	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6312	Cyanobacteria
UniRef100_V5V6W9	V5V6W9	uniprot	1394889.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Thermosynechococcaceae;Thermosynechococcus;unclassified Thermosynechococcus	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Thermosynechococcaceae;g__Thermosynechococcus;s__Thermosynechococcus sp. NK55a	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus	Thermosynechococcus sp. NK55a	Cyanobacteria
UniRef100_A0A098TKN0	A0A098TKN0	uniprot	1497020.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Neosynechococcus;Neosynechococcus sphagnicola	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Neosynechococcus;s__Neosynechococcus sphagnicola	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Leptolyngbyaceae	Neosynechococcus	Neosynechococcus sphagnicola	Cyanobacteria
UniRef100_A0A3C1G0E3	A0A3C1G0E3	uniprot	2026770.0	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospiraceae bacterium	Nitrospirae
UniRef100_A0A552LCK1	A0A552LCK1	uniprot	2486241.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis wesenbergii	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis wesenbergii	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis wesenbergii	Cyanobacteria
UniRef100_A0A7V6A599	A0A7V6A599	uniprot	60893.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfobacca	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophales;f__Syntrophaceae;g__Desulfobacca;s__Desulfobacca acetoxidans	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophales	Syntrophaceae	Desulfobacca	Desulfobacca acetoxidans	Proteobacteria
UniRef100_E0UI06	E0UI06	uniprot	497965.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece verrucosa	Cyanobacteria
UniRef100_K9RVG3	K9RVG3	uniprot	195253.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6312	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6312	Cyanobacteria
UniRef100_A0A0F2J4I4	A0A0F2J4I4	uniprot	1609970.0	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Candidatus Magnetoovum	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Candidatus Magnetoovum;s__Candidatus Magnetoovum chiemensis	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Candidatus Magnetoovum	Candidatus Magnetoovum chiemensis	Nitrospirae
UniRef100_A0A109CWR9	A0A109CWR9	uniprot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UniRef100_A0A177E720	A0A177E720	uniprot	1795632.0	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfatator	k__Bacteria;p__Thermodesulfobacteria;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfatator;s__Thermodesulfatator autotrophicus	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	Thermodesulfatator autotrophicus	Other
UniRef100_A0A1E4FCY9	A0A1E4FCY9	uniprot	1660164.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified Nitrosomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__;s__Nitrosomonadales bacterium SCN 54-20	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	NA	NA	Nitrosomonadales bacterium SCN 54-20	Proteobacteria
UniRef100_A0A1E4FHM4	A0A1E4FHM4	uniprot	1660164.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified Nitrosomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__;s__Nitrosomonadales bacterium SCN 54-20	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	NA	NA	Nitrosomonadales bacterium SCN 54-20	Proteobacteria
UniRef100_A0A1E7HD06	A0A1E7HD06	uniprot	1866913.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__;g__;s__Desulfobacterales bacterium C00003104	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	NA	NA	Desulfobacterales bacterium C00003104	Proteobacteria
UniRef100_A0A1G1DAK6	A0A1G1DAK6	uniprot	1801683.0	cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Nitrospinae;unclassified Nitrospinae	k__Bacteria;p__Nitrospinae;c__;o__;f__;g__;s__Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10	Bacteria	Nitrospinae	NA	NA	NA	NA	Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10	Other
UniRef100_A0A1G1H2U6	A0A1G1H2U6	uniprot	1801709.0	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae	k__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__Nitrospirae bacterium RBG_19FT_COMBO_42_15	Bacteria	Nitrospirae	NA	NA	NA	NA	Nitrospirae bacterium RBG_19FT_COMBO_42_15	Nitrospirae
UniRef100_A0A1G7Q5M8	A0A1G7Q5M8	uniprot	1082479.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhodovibrionaceae;Limimonas	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Limimonas;s__Limimonas halophila	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhodovibrionaceae	Limimonas	Limimonas halophila	Proteobacteria
UniRef100_A0A1H7P8E5	A0A1H7P8E5	uniprot	1233.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosovibrio	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosovibrio;s__Nitrosovibrio tenuis	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosovibrio	Nitrosovibrio tenuis	Proteobacteria
UniRef100_A0A1H7WVI7	A0A1H7WVI7	uniprot	43775.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Syntrophus	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus gentianae	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophales	Syntrophaceae	Syntrophus	Syntrophus gentianae	Proteobacteria
UniRef100_A0A1I2ZQH6	A0A1I2ZQH6	uniprot	1855333.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;unclassified Nitrosospira	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__Nitrosospira sp. Nsp14	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira sp. Nsp14	Proteobacteria
UniRef100_A0A1V5D475	A0A1V5D475	uniprot	1811704.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;unclassified Syntrophorhabdus	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__Syntrophorhabdus sp. PtaU1.Bin058	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophorhabdales	Syntrophorhabdaceae	Syntrophorhabdus	Syntrophorhabdus sp. PtaU1.Bin058	Proteobacteria
UniRef100_A0A251X9X8	A0A251X9X8	uniprot	1570016.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichales incertae sedis;Thioflexithrix	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__;g__Thioflexithrix;s__Thioflexithrix psekupsensis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	NA	Thioflexithrix	Thioflexithrix psekupsensis	Proteobacteria
UniRef100_A0A2N9YA15	A0A2N9YA15	uniprot	288004.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Beggiatoa	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Beggiatoa;s__Beggiatoa leptomitoformis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa	Beggiatoa leptomitoformis	Proteobacteria
UniRef100_A0A2T5JWD9	A0A2T5JWD9	uniprot	136548.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;unclassified Nitrosospira	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__Nitrosospira sp. Nsp2	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira sp. Nsp2	Proteobacteria
UniRef100_A0A2U3JXK8	A0A2U3JXK8	uniprot	2043167.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter sp. SbD1	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter sp. SbD1	Proteobacteria
UniRef100_A0A357IFU3	A0A357IFU3	uniprot	1913989.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__Gammaproteobacteria bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium	Proteobacteria
UniRef100_A0A3A5ASH6	A0A3A5ASH6	uniprot	2049433.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__Desulfobacteraceae bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA	Desulfobacteraceae bacterium	Proteobacteria
UniRef100_A0A3A6NXQ9	A0A3A6NXQ9	uniprot	2093369.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;unclassified Desulfurivibrio	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfurivibrio;s__Desulfurivibrio sp.	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfurivibrio	Desulfurivibrio sp.	Proteobacteria
UniRef100_A0A3B1D331	A0A3B1D331	uniprot	652676.0	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes	k__;p__;c__;o__;f__;g__;s__hydrothermal vent metagenome	NA	NA	NA	NA	NA	NA	hydrothermal vent metagenome	NA
UniRef100_A0A3C1FSM5	A0A3C1FSM5	uniprot	2026770.0	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospiraceae bacterium	Nitrospirae
UniRef100_A0A3C1FW81	A0A3C1FW81	uniprot	2026770.0	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospiraceae bacterium	Nitrospirae
UniRef100_A0A3C1FWR3	A0A3C1FWR3	uniprot	2026770.0	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospiraceae bacterium	Nitrospirae
UniRef100_A0A3D1BKW8	A0A3D1BKW8	uniprot	2026770.0	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospiraceae bacterium	Nitrospirae
UniRef100_A0A3N5IS64	A0A3N5IS64	uniprot	2049433.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__Desulfobacteraceae bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA	Desulfobacteraceae bacterium	Proteobacteria
UniRef100_A0A3N5Z179	A0A3N5Z179	uniprot	2026735.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	Deltaproteobacteria bacterium	Proteobacteria
UniRef100_A0A3S0WML2	A0A3S0WML2	uniprot	2053538.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria incertae sedis;Candidatus Competibacteraceae;unclassified Candidatus Competibacteraceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__Candidatus Competibacteraceae bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	NA	Candidatus Competibacteraceae	NA	Candidatus Competibacteraceae bacterium	Proteobacteria
UniRef100_A0A419J5L4	A0A419J5L4	uniprot	2026770.0	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__;s__Nitrospiraceae bacterium	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospiraceae bacterium	Nitrospirae
UniRef100_A0A495V5S6	A0A495V5S6	uniprot	69360.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiocapsa	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocapsa;s__Thiocapsa rosea	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa	Thiocapsa rosea	Proteobacteria
UniRef100_A0A4E0QWY4	A0A4E0QWY4	uniprot	1003181.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiomargarita	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiomargarita;s__Candidatus Thiomargarita nelsonii	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiomargarita	Candidatus Thiomargarita nelsonii	Proteobacteria
UniRef100_A0A4P7C0E6	A0A4P7C0E6	uniprot	1814290.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcus wardiae	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus wardiae	Proteobacteria
UniRef100_A0A4R3MYP0	A0A4R3MYP0	uniprot	127458.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiobaca	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiobaca;s__Thiobaca trueperi	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiobaca	Thiobaca trueperi	Proteobacteria
UniRef100_A0A4R4A5P0	A0A4R4A5P0	uniprot	1048.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Marichromatium;s__Marichromatium gracile	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium gracile	Proteobacteria
UniRef100_A0A522V264	A0A522V264	uniprot	2026887.0	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae	k__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__Nitrospirae bacterium	Bacteria	Nitrospirae	NA	NA	NA	NA	Nitrospirae bacterium	Nitrospirae
UniRef100_A0A564ZLN2	A0A564ZLN2	uniprot	2211376.0	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division NC10;Candidatus Methylomirabilis	k__Bacteria;p__candidate division NC10;c__;o__;f__;g__Candidatus Methylomirabilis;s__Candidatus Methylomirabilis lanthanidiphila	Bacteria	candidate division NC10	NA	NA	NA	Candidatus Methylomirabilis	Candidatus Methylomirabilis lanthanidiphila	Other
UniRef100_A0A5B8N5U1	A0A5B8N5U1	uniprot	2601898.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;unclassified Noviherbaspirillum	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__Noviherbaspirillum sp. UKPF54	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Noviherbaspirillum sp. UKPF54	Proteobacteria
UniRef100_A0A5M8FRV3	A0A5M8FRV3	uniprot	424902.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa;s__Thiohalocapsa marina	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiohalocapsa	Thiohalocapsa marina	Proteobacteria
UniRef100_A0A6C1SX04	A0A6C1SX04	uniprot	2026786.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__Rhodospirillales bacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	Rhodospirillales bacterium	Proteobacteria
UniRef100_A0A6I7Q5T8	A0A6I7Q5T8	uniprot	2049432.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;unclassified Chromatiaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__;s__Chromatiaceae bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	NA	Chromatiaceae bacterium	Proteobacteria
UniRef100_A0A6M0JYE8	A0A6M0JYE8	uniprot	57489.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodococcus;s__Thiorhodococcus minor	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodococcus	Thiorhodococcus minor	Proteobacteria
UniRef100_A0A6M1Y8B5	A0A6M1Y8B5	uniprot	2713569.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella;unclassified Wenzhouxiangella	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__Wenzhouxiangella sp. XN24	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Wenzhouxiangellaceae	Wenzhouxiangella	Wenzhouxiangella sp. XN24	Proteobacteria
UniRef100_A0A6N2E5P3	A0A6N2E5P3	uniprot	2026786.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__Rhodospirillales bacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	Rhodospirillales bacterium	Proteobacteria
