	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
UniRef100_A0A3D5IF75	A0A3D5IF75	uniprot	1898207.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;unclassified Eubacteriales	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__Clostridiales bacterium	Bacteria	Bacillota	Clostridia	Eubacteriales	NA	NA	Clostridiales bacterium	Bacillota
UniRef100_A0A538R1S0	A0A538R1S0	uniprot	2053607.0	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokubacteria;unclassified Candidatus Rokubacteria	k__Bacteria;p__Candidatus Rokubacteria;c__;o__;f__;g__;s__Candidatus Rokubacteria bacterium	Bacteria	Candidatus Rokubacteria	NA	NA	NA	NA	Candidatus Rokubacteria bacterium	Other
UniRef100_A0A4P8L413	A0A4P8L413	uniprot	980445.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba;Desulfoglaeba alkanexedens	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Desulfoglaeba;s__Desulfoglaeba alkanexedens	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfoglaeba	Desulfoglaeba alkanexedens	Proteobacteria
UniRef100_A0A0S8FBP2	A0A0S8FBP2	uniprot	1703405.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__Gammaproteobacteria bacterium SG8_31	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium SG8_31	Proteobacteria
UniRef100_A0A4Y9SN17	A0A4Y9SN17	uniprot	2562153.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia group;Massilia	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Massilia horti	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia horti	Proteobacteria
UniRef100_A0A545SE55	A0A545SE55	uniprot	2268194.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;unclassified Halothiobacillaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Halothiobacillaceae;g__;s__Halothiobacillaceae bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae	NA	Halothiobacillaceae bacterium	Proteobacteria
UniRef100_A0A5B8N6H0	A0A5B8N6H0	uniprot	2601898.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;unclassified Noviherbaspirillum	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__Noviherbaspirillum sp. UKPF54	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Noviherbaspirillum sp. UKPF54	Proteobacteria
UniRef100_A0A6B8M237	A0A6B8M237	uniprot	134.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;s__Methylocystis parvus	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis parvus	Proteobacteria
UniRef100_A0A439Z983	A0A439Z983	uniprot	1871066.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp.	Proteobacteria
UniRef100_A0A441TTP0	A0A441TTP0	uniprot	1871066.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;unclassified Mesorhizobium	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp.	Proteobacteria
